wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X,wqdashboard,ri_ww
g/cm3,,,,,,ug/L,x * 1000000000,x / 1000000000,g/cm3,
g/day,,,,,,lb/day,x * 0.002204623,x / 0.002204623,g/day,
g/g,,,,,,g/g,x,x,g/g,
g/hr,,,,,,lb/day,x * 0.052910952,x / 0.052910952,g/hr,
g/L|g/l,,,,,,ug/L,x * 1000000,x / 1000000,g/L|g/l,
g/m2,,,,,,g/m2,x,x,g/m2,
g/m2/day,,,,,,mg/m2/day,x * 1000,x / 1000,g/m2/day,
g/m2/hr,,,,,,mg/m2/day,x * 24000,x / 24000,g/m2/hr,
g/m2/month,,,,,,g/m2/month,x,x,g/m2/month,
g/m2/sec,,,,,,g/m2/sec,x,x,g/m2/sec,
g/m3,,,,,,ug/L,x * 1000,x / 1000,g/m3,
g/m3/day,,,,,,mg/m3/day,x * 1000,x / 1000,g/m3/day,
g/m3/hr,,,,,,mg/m3/day,x * 24000,x / 24000,g/m3/hr,
g/min,,,,,,lb/day,x * 3.17465712,x / 3.17465712,g/min,
g/mL|g/ml,,,,,,ug/L,x * 1000000000,x / 1000000000,g/mL|g/ml,
g/sec,,,,,,lb/day,x * 190.4794272,x / 190.4794272,g/sec,
g/stalk,,,,,,g/stalk,x,x,g/stalk,
gal,,,,,,m3,x * 0.003785412,x / 0.003785412,gal,
gal/hr,,,,,,cfs,x * 0.0000371,x / 0.0000371,gal/hr,
gal/sec,,,,,,cfs,x * 0.133680556,x / 0.133680556,gal/sec,
gc/uL|gc/ul,,,,,,gc/uL,x,x,gc/uL|gc/ul,
geu/100mL|geu/100ml,,,,,,geu/100mL,x,x,geu/100mL|geu/100ml,
geu/g,,,,,,geu/g,x,x,geu/g,
gpg,,,,,,ug/L,x * 17118.06007,x / 17118.06007,gpg,
gpm/ft,,,,,,gpm/ft,x,x,gpm/ft,
grains,,,,,,g,x * 0.06479891,x / 0.06479891,grains,
Granules,,,,,,Granules,x,x,Granules,
ha,,,,,,m2,x * 10000,x / 10000,ha,
hhmm,,,,,,hhmm,x,x,hhmm,
hp,,,,,,Mw,x * 0.000746,x / 0.000746,hp,
hPa,,,,,,hPa,x,x,hPa,
HU,,,,,,PCU,x,x,HU,
Imp gal,,,,,,m3,x * 0.00454609,x / 0.00454609,Imp gal,
in,,,,,,m,x / 39.37008,x * 39.37008,in,
in/day,,,,,,in/day,x,x,in/day,
in/hr,,,,,,in/hr,x,x,in/hr,
in/min,,,,,,in/min,x,x,in/min,
in/week,,,,,,in/week,x,x,in/week,
in2,,,,,,m2,x * 0.00064516,x / 0.00064516,in2,
in3,,,,,,m3,x * 0.0000164,x / 0.0000164,in3,
inH2O,,,,,,inH2O,x,x,inH2O,
inHg,,,,,,mmHg,x * 25.4,x / 25.4,inHg,
ipiu/100L|ipiu/100l,,,,,,ipiu/100L,x,x,ipiu/100L|ipiu/100l,
IVFU,,,,,,IVFU,x,x,IVFU,
JCU,,,,,,JCU,x,x,JCU,
Joules,,,,,,kcal,x * 0.000238846,x / 0.000238846,Joules,
kcal,,,,,,kcal,x,x,kcal,
kg,,,,,,g,x * 1000,x / 1000,kg,
kg/day,,,,,,kg/day,x,x,kg/day,
kg/day/mi2,,,,,,kg/day/mi2,x,x,kg/day/mi2,
kg/ha,,,,,,g/m2,x * 0.1,x / 0.1,kg/ha,
kg/m2,,,,,,g/m2,x * 1000,x / 1000,kg/m2,
kg/m3,,,,,,ug/L,x * 1000000,x / 1000000,kg/m3,
Kg/m3-1000,,,,,,Kg/m3-1000,x,x,Kg/m3-1000,
kg/t,,,,,,kg/t,x,x,kg/t,
kg/tons,,,,,,kg/tons,x,x,kg/tons,
kgal,,,,,,m3,x * 3.785412,x / 3.785412,kgal,
km,,,,,,m,x * 1000,x / 1000,km,
km/hr,,,,,,m/sec,x * 0.277777778,x / 0.277777778,km/hr,
km/sec,,,,,,m/sec,x * 1000,x / 1000,km/sec,
km2,,,,,,m2,x * 1000000,x / 1000000,km2,
knots,,,,,,m/sec,x * 0.514444444,x / 0.514444444,knots,
KOhm/cm,,,,,,KOhm/cm,x,x,KOhm/cm,
Kohm-cm,,,,,,ohm-m,x * 10,x / 10,Kohm-cm,
kPa,,,,,,g/m2,x * 101971.6213,x / 101971.6213,kPa,
kw,,,,,,Mw,x * 0.001,x / 0.001,kw,
L/day|l/day,,,,,,cfs,x * 0.000000409,x / 0.000000409,L/day|l/day,
L/hr|l/hr,,,,,,cfs,x * 0.00000981,x / 0.00000981,L/hr|l/hr,
L/mg-cm|l/mg-cm,,,,,,L/mg-cm,x,x,L/mg-cm|l/mg-cm,
L/mg-m|l/mg-m,,,,,,L/mg-cm,x * 100,x / 100,L/mg-m|l/mg-m,
L|l,,,,,,m3,x * 0.001,x / 0.001,L|l,
Langleys,,,,,,Langleys,x,x,Langleys,
lb,,,,,,g,x * 453.59237,x / 453.59237,lb,
