Sample ID,Sample Date,Lab,Analysis Date,Parameter,Result,Unit,RL,MDL,Method,Sample Depth m
P7CBI,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.17,MG/L,0.1,0.073,SM4500NE_2021,0.2
P7CBI,06/21/23,UMWL,07/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.14,MG/L,0.1,0.073,SM4500NE_2021,0.2
P7CBI,07/18/23,UMWL,09/22/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
P7CBI,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.23,MG/L,0.1,0.073,SM4500NE_2021,0.2
P7CBI,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.18,MG/L,0.1,0.073,SM4500NE_2021,0.2
P7CBI,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.21,MG/L,0.1,0.073,SM4500NE_2021,0.2
P9LFP,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.18,MG/L,0.1,0.073,SM4500NE_2021,0.2
P9LFP,06/21/23,UMWL,07/28/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
P9LFP,07/18/23,UMWL,09/25/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.36,MG/L,0.1,0.073,SM4500NE_2021,0.2
P9LFP,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.28,MG/L,0.1,0.073,SM4500NE_2021,0.2
P9LFP,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.27,MG/L,0.1,0.073,SM4500NE_2021,0.2
P9LFP,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.24,MG/L,0.1,0.073,SM4500NE_2021,0.2
P9MPO,07/18/23,UMWL,09/25/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.32,MG/L,0.1,0.073,SM4500NE_2021,0.2
P9MPO,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.21,MG/L,0.1,0.073,SM4500NE_2021,0.2
P9MPO,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.20,MG/L,0.1,0.073,SM4500NE_2021,0.2
P9MPO,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.24,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH1,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.22,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH1,06/21/23,UMWL,07/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.21,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH1,07/18/23,UMWL,09/22/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.27,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH1,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH1,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.22,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH1,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.22,MG/L,0.1,0.073,SM4500NE_2021,0.2
PH2,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.27,MG/L,0.1,0.073,SM4500NE_2021,0.2
