SiteID,Date,Time,Sample Depth m,Temp °C,Sal psu,ODO mg/L,ODO % sat,pH,Chlorophyll ug/L,Turbidity FNU
P6FGG,7/19/2023,12:45,0.2,20.1,25,8.7,110.4,8.1,7.9,2.1
P6FGG,7/19/2023,12:45,14,13.2,30.9,7.6,87.2,8,1.6,1.5
P6FGG,7/19/2023,12:46,7,15.2,30,7.8,93.1,8,5.9,1.5
P6FGG,8/16/2023,12:30,0.1,19.1,25.6,8.6,107.6,8.02,7.2,1.2
P6FGG,8/16/2023,12:30,1,19,25.8,8.6,108,8.02,8.5,1.2
P6FGG,8/16/2023,12:30,2.1,18.8,26.7,8.5,106.8,8.01,8,1.1
P6FGG,8/16/2023,12:31,4,16.4,29.8,8,97.5,7.96,7.6,1.1
P6FGG,8/16/2023,12:31,6,15.8,30.2,7.5,90.9,7.94,5.4,1.1
P6FGG,8/16/2023,12:32,8,14.7,31,7.4,87.9,7.91,4.6,1.5
P6FGG,8/16/2023,12:32,10,14.3,31.2,7.3,86.3,7.9,4.7,1.1
P6FGG,8/16/2023,12:32,11.8,14.2,31.3,7.2,85.3,7.89,4.1,1.1
P6FGG,9/6/2023,12:36,0.1,20.2,24.6,8.5,108.2,8,3.2,0.9
P6FGG,9/6/2023,12:36,1,19.7,25.3,8.5,107.2,8.01,4.3,1
P6FGG,9/6/2023,12:37,2,17.4,28.7,8.6,106.1,8.02,6.4,0.8
P6FGG,9/6/2023,12:37,4,16.5,29.9,8.3,101.4,8.01,5.3,0.8
P6FGG,9/6/2023,12:38,6.1,15.7,30.5,7.9,95.6,7.98,3.6,1
P6FGG,9/6/2023,12:38,8,15.5,30.7,7.8,93.9,7.97,2.9,1
P6FGG,9/6/2023,12:39,10,15.3,30.8,7.7,92.3,7.95,2.7,1.2
P6FGG,9/6/2023,12:39,11.9,15.3,30.9,7.6,91.9,7.94,2.8,1.3
P6FGG,10/4/2023,12:45,0.2,16.1,29.1,8.5,102.5,8.03,4.3,0.8
P6FGG,10/4/2023,12:46,1.1,15.6,29.7,8.3,99.5,8.01,5.1,0.8
P6FGG,10/4/2023,12:46,2,15.5,29.9,8.2,98.7,8,5.3,0.7
P6FGG,10/4/2023,12:47,4,15.1,30.5,8,96,7.98,3.6,0.7
P6FGG,10/4/2023,12:47,6,15.1,30.5,8,95.3,7.98,3.7,0.7
