wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X
lb/min,,,,,,lb/day,x * 1440,
lb/sec,,,,,,lb/day,x * 86400,
lm/ft2,,,,,,lm/m2,x * 10.76391042,
lm/m2,,,,,,lm/m2,x,
loc-sec,,,,,,loc-sec,x,
log10 copies,,,,,,log10 copies,x,
lumens,,,,,,lm/m2,x * 10.76391042,
m/sec,,,,,,m/sec,x,
m/y,,,,,,m/y,x,
m2,,,,,,m2,x,
m2/g,,,,,,m2/g,x,
m2/km2,,,,,,m2/km2,x,
m3,,,,,,m3,x,
m3/day,,,,,,m3/day,x,
m3/hr,,,,,,cfs,x * 0.009809631,
m3/min,,,,,,cfs,x * 0.588577833,
m3/month,,,,,,m3/month,x,
m3/sec,,,,,,cfs,x * 35.31467,
m3/week,,,,,,m3/week,x,
m3/yr,,,,,,m3/yr,x,
mCi,,,,,,mSv,x * 5,
mCi/km2,,,,,,mCi/km2,x,
meq,,,,,,meq,x,
mEq/100g,,,,,,mEq/100g,x,
meq/kg,,,,,,meq/kg,x,
meq/L|meq/l,,,,,,meq/L,x,
metric ton,,,,,,g,x * 1000000,
MFL,,,,,,MFL,x,
mg,,,,,,g,x * 0.001,
Mg/100cm2/d,,,,,,Mg/100cm2/d,x,
mg/100g,,,,,,ug/kg,x * 10000,
mg/cm2,,,,,,ug/cm2,x * 1000,
mg/cm3,,,,,,ug/L,x * 1000000,
mg/day,,,,,,lb/day,x * 0.0000022,
mg/dm2/day,,,,,,mg/dm2/day,x,
mg/dm2/month,,,,,,mg/dm2/month,x,
mg/g,,,,,,ug/kg,x * 1000000,
mg/g/hr,,,,,,mg/g/hr,x,
mg/hr,,,,,,lb/day,x * 0.0000529,
mg/kg,,,,,,ug/kg,x * 1000,
mg/L/hr|mg/l/hr,,,,,,mg/m3/day,x * 41.6666667,
mg/m2,,,,,,g/m2,x * 0.001,
mg/m2/day,,,,,,mg/m2/day,x,
mg/m2/hr,,,,,,mg/m2/day,x * 24,
mg/m3,,,,,,ug/L,x,
mg/m3/day,,,,,,mg/m3/day,x,
mg/m3/hr,,,,,,mg/m3/day,x * 24,
mg/min,,,,,,lb/day,x * 0.003174657,
mg/mL|mg/ml,,,,,,ug/L,x * 1000000,
